RUBRO,NOMBRE FANTASIA,DIRECCION,N§,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABIT.,PLAZAS,TITULAR,E-MAIL
ALOJAMIENTO,SAN RAFAEL TURISMO,SAN LUIS,966,CIUDAD,SAN RAFAEL,0260-4446034,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6,"BARRESI, MIRTA ANGELA",EXISTEN DOS EXPEDIENTES DE INSRIPCION 1668-B-07 Y 829-B-08
ALOJAMIENTO,HOTTEL SUITTES,ORTIZ,186,CIUDAD,GODOY CRUZ,4224606,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,12,"DE OTTO, ENRIQUE",
ALOJAMIENTO,GRAN HOTEL POTRERILLOS,RUTA NAC. 7,KM.50,POTRERILLOS,LUJAN DE CUYO,0261-5688792,ALOJAMIENTO,SIN CATEGORIZAR,E/T,34,75,INVERSORA POTRERILLOS S.A.,galvarez@granhotelpotrerillos.com
CAMPING,DON VENANCIO,LA QUEBRADA S/N-RUTA 94,,CAMINO AL MANZANO,TUNUYAN,02622-492056,CAMPAMENTO,CAMPAMENTO,INSCRIPTO,,,"MOYANO, PEDRO DANIEL",donvenancio@valledeuco.com
HOTEL,ARGENTINO,ESPEJO,455,CIUDAD,CAPITAL,4056300,HOTEL,3 ESTRELLAS,INSCRIPTO,47,100,NELL JOY INDUSTRIAS MENDOZA S.A.,info@argentino-hotel.com www.argentino-hotel.com
ALOJAMIENTO,HOSTAL NAHUEL,BALCARCE,150,CIUDAD,SAN RAFAEL,260-4316352,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,32,"CASTRO, MONICA BEATRIZ",hostalnahuelsanrafael@gmail.com
ALOJAMIENTO,QUINTA RUFINO,RUFINO ORTEGA,142,CIUDAD,CAPITAL,4204696,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MATEU, JUANPABLO Y FOURCADE, AGUSTIN",info@quintarufino.com.ar
ALOJAMIENTO,EL DORADO,RUTA 62,S/N,LA REDUCCION,RIVADAVIA,02623-443873,ALOJAMIENTO,SIN CATEGORIZAR,E/T,150,,"ALGA¥ARAZ, FERNANDO ESTEBAN",
CAMPING,INTI WAYRA,RUTA 173,KM.24,VALLE GRANDE,SAN RAFAEL,0260-4435476,CAMPING,SIN CATEGORIZAR,INSCRIPTO,,,"GUILLEN, ANA MABEL",mariaeugeniaragusa@latinmail.com
ALOJAMIENTO,PASOS ANDINOS,ARENALES,762,EUGENIO BUSTOS,SAN CARLOS,02622-451135/15586051,PAT,PAT,INSCRIPTO,3,12,ROSALES BERTRAND,pasosandinosbandb@hotmail.com
ALOJAMIENTO,ALGODàN WINE ESTATES,"RUTA NAC,144",KM.674,CUADRO BENEGAS,SAN RAFAEL,0260-4429020,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,20,ALGODàN WINE ESTATES S.R.L.,
APART-HOTEL,SESMA,ESTANISLAO SALAS,500,CUADRO NACIONAL,SAN RAFAEL,0260-4442468,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,15,70,"SESMA, LUIS DAVID",complejo@complejosesma.com.ar
ALOJAMIENTO,TERMINAL,ALBERDI,261,SAN JOSE,GUAYMALLEN,4313893,ALOJAMIENTO,SIN CATEGORIZAR,,,,"VERA, ADIRANA",
CAMPING,EL DIQUE,CAMINO DEL DIQUE,S/N,DIQUE BLAS BRISOLI,MALARGUE,0260-154661917,CAMPING,SIN CATEGORIZAR,INSCRIPTO,20,80,"GATICA, CESAR ROMAN",dangatica@hotmail.com
HOSPEDAJE,ALOHA,AV.GODOY CRUZ,463,CIUDAD,CAPITAL,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,16,"AGUILERA, OSCAR LUIS",
APART-HOTEL,VI¥EDOS DORADOS,COLOMBRES,155,CIUDAD,LUJAN DE CUYO,5247990,APART-HOTEL,1 ESTRELLA,INSCRIPTO,10,32,SAN MIGUEL S.A.,www.vi¤edosdorados.com.ar - info@vinedosdorados.com.ar
APART-HOTEL,PATIOS DEL MEDITERRANEO,AV.SAN MARTIN,77,CIUDAD,SAN RAFAEL,0260-4425564,APART-HOTEL,1 ESTRELLA,INSCRIPTO,8,35,SOCIEDAD ESPA¥OLA DE SOCORROS MUTUOS,patiosdelmediterraneo@hotmail.com
ALOJAMIENTO,CASA HUESPED,JOAQUIN V. GONZALEZ,439,CIUDAD,GODOY CRUZ,4351428,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,9,"TUMBARELLO, ESTER INES",
ALOJAMIENTO,IL TRAMONTO,LAS VIRGENES,S/N,LAS PAREDES,SAN RAFAEL,154403947,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,16,"DOMINIONI, MARCO",marco.domioni@hotmail.com
MOTEL,OCEAN SUITES,GUEMES,422,SAN JOSE,GUAYMALLEN,,MOTEL,SIN CATEGORIZAR,E/T,10,20,MAD GROUP S.A.,
HOSTEL,ALAMO,NECOCHEA,740,CIUDAD,CAPITAL,4295565,HOSTEL,HOSTEL,INSCRIPTO,11,40,"DEMARIA, FERNANDO",info@hostelalamo.com
ALOJAMIENTO,LA POSADA DEL MONJE,BELGRANO Y LENCINAS,45,CIUDAD,SAN CARLOS,02622-451072,ALOJAMIENTO,SIN CATEGORIZAR,E/T,7,14,"LUGONES, MARIA CRISTINA",laposadadelmonje@yahoo.com.ar
HOSPEDAJE,SEU SEK,PROLONGACION CONSTITUCION NACIONAL,82,MALARGUE,MALARGUE,0260-154587890,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,1,8,"ROJAS, KARINA DANIELA",info@seusek.com.ar - seu_sek@yahoo.com.ar
ALOJAMIENTO,NEWUEN MAPU,"AV.GRAL.ROCA ""O""",342,CIUDAD,MALARGUE,0260-4472533,CABA¥AS,1 ESTRELLA,INSCRIPTO,5,30,M Y G S.R.L.,cnewenmapu@yahoo.com.ar
ALOJAMIENTO,CASA EL MANZANO,"BøPARAISO I-M""A""-CASA2",,GUTIERREZ,MAIPU,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"FIORENTINI, ENRIQUE",
CABA¥AS,TERRALTA,RUTA PANAMERICA,14035,BLANCO ENCALADA,LUJAN DE CUYO,4901030,CABA¥AS,2 ESTRELLAS,INSCRIPTO,8,44,"MAINARDI, JORGE EDUARDO",apart@terralta.com.ar
CABA¥AS,VILLA DEL SOL,ALICIA LORCAY RUTA 143,S/N,CIUDAD,GRAL.ALVEAR,02625-425455,CABA¥AS,1 ESTRELLA,INSCRIPTO,8,40,"GARCIA, ERNESTO",villadelsol@yahoo.com.ar
HOSPEDAJE,ESTANCIA LOS MORROS,RODRIGUEZ,243,CIUDAD,MALARGUE,0260-4470148,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,2,6,"MIHANOVICH, JAVIER",javier@nihanovich.com
PAT,EYE HUTU ( CASA DEL ARBOL),PIEDRA BUENA,210,CIUDAD,LUJAN DE CUYO,4980599,PAT,PAT,INSCRIPTO,5,31,"MORON, FERNANDO AGUSTIN",reservas@aparthoteleyehutu.com.ar
ALOJAMIENTO,TIERRAS DE SOL,SAN MARTIN,1311,TUNUYAN,TUNUYAN,02622-15466521,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,24,"LLULL, GRACIELA ESTELA",tierradesol@valledeuco.com
ALOJAMIENTO,LAS ESCONDIDAS,RUTA 173,KM.15/1,EL NIHUIL,SAN RAFAEL,0260-4500964,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18,JALU S.R.L.,lasescondidad@hotmail.com
PAT,RINCON SUR POSADA,AV.SAN MARTIN,2632,CIUDAD,MALARGUE,0260-154514816,PAT,PAT,INSCRIPTO,9,52,"MARA¥ON, MARISA RUTH",info@posadarincorsur.com
ALOJAMIENTO,OASIS DEL SOL,VILLA 25 DE MAYO,S/N,25 DE MAYO,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"ZICAVO, MARIELA VIVIANA",
ALOJAMIENTO,COMPLEJO TURISTICO CIPOLLETI,DIQUE CIPOLLETTI,S/N,DIQUE CIPOLLETTI,LUJAN DE CUYO,4981621,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,C.T.C. S.R.L.,juanteguy@yutovia.com
ALOJAMIENTO,UMBRAL DEL ACONCAGUA,RIOJA,1528,CIUDAD,CAPITAL,261-5708357,ALOJAMIENTO,SIN CATEGORIZAR,E/T,23,80,DR CONTRCCIONES S.A.,administracion@umbralapart.com.ar
CABA¥AS,LOS NIETOS,AV.VELEZ SARFIELD,1333,CIUDAD,SAN RAFAEL,0260-154671729//02625-15446628,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,5,30,"JAUME, OSVALDO",
ALOJAMIENTO,VILLA VICTORIA WINE LODGE,MORENO,271,COQUIMBITO,MAIPU,4649350,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,10,VILLOD S.A.,villa@victoriawinelodge.com
PAT,LARES DE CHACRAS,LARREA,1266,CHACRAS DE CORIA,LUJAN DE CUYO,4961061,PAT,PAT,INSCRIPTO,8,24,VITA MEDITERRANEA S.A.,lares@nysnet.com.ar
HOSTERIA RURAL,POSADA SALENTEIN,RUTA PRO.89 YCALLE VIDELA,S/N,LOS ARBOLES,TUNUYAN,02622-429090,HOSTERIA RURAL,3 ESTRELLAS,INSCRIPTO,8,20,"MOSQUERA, FERANDO",
HOSTERIA,POSTALES DEL PLATA,TABANERA,S/N,COLONIA LAS ROSAS,TUNUYAN,02622-490024,HOSTERIA,3 ESTRELLAS,INSCRIPTO,,,POSTALES DEL PLATA S.A,www.postalesdelplata.com
HOSTEL,HOSTAL CAMINITO,CHILE,411,CIUDAD,SAN RAFAEL,0260-4445182,HOSTEL,HOSTEL,INSCRIPTO,26,26,"PERICAS, GLADYS SUSANA",
ALOJAMIENTO,LA VINYET,ROCA,1537,CIUDAD,GRAL.ALVEAR,261-6831295,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,6,"RENEDO, MARIA JOSE",
APART-HOTEL,TIEMPO ANDINO,AV.BALLOFET,1195,CIUDAD,SAN RAFAEL,0260-4420120,APART-HOTEL,2 ESTRELLAS,INSCRIPTO,12,48,"MAURE, SERGIO DANIEL",info@tiempoandino.com.ar
ALOJAMIENTO,AUBERGE DU VIN,LA COSTA,S/N,GUATALLARY,TUPUNGATO,0261-4764520,ALOJAMIENTO,SIN CATEGORIZAR,E/T,28,56,HOTELERIA Y GASTRONOMIA DE LA PATAGONIA S.A.,leticia@photeles.net
HOTEL,PASAMBAY,SARMIENTO,14,CIUDAD,RIVADAVIA,02623-445365/25,HOTEL,2 ESTRELLAS,INSCRIPTO,20,40,BADENBADEN S.A.,www.pasambay.com.ar
PAT,HOME SUITES,PASAJE LEMOS,691,CIUDAD,CAPITAL,4296857,PAT,PAT,INSCRIPTO,12,37,RESGUADOS MENDOCINOS S.R.L.,gerencia@gardenhotelesmendoza.com
CABA¥AS,LUZ DEL AMANECER,RUTA PANAMERICA,KM.23,LAS COMPUERTAS,LUJAN DE CUYO,4901085/4901001,CABA¥AS,1 ESTRELLA,INSCRIPTO,2,14,"DE SAN MARTIN, VIRGINIA SARA",info@luzdelamanecer.com
ALOJAMIENTO,TERRA NOSTRA,CALLE 4 Y F,,EL JUNCALITO,GRAL.ALVEAR,02625-15414062,ALOJAMIENTO,SIN CATEGORIZAR,E/T,2,10,"SALINAS, PATRICIA SILVINA",
HOSTEL,ESTACION MENDOZA,PRIMITIVO DE LA RETA,547,CIUDAD,CAPITAL,4291110,HOSTEL,HOSTEL,INSCRIPTO,4,14,"SEGUI, MARIO ALBERTO",www.estacion-mendoza.com.ar
ALOJAMIENTO,LA ESCONDIDA,PASAJE PEHUENCHE O.,457,CA¥ADA COLORADA,MALARGUE,0260-154404521,ALOJAMIENTO,SIN CATEGORIZAR,E/T,10,25,"MORAN, OMAR ROMAN",info@laescondidamalargue.com.ar
ALOJAMIENTO,COMPLEJO TURISTICO EL MANGRULLO,EJERCITO DE LOS ANDES,S/N,RAMA CAIDA,SAN RAFAEL,0260-154663118,ALOJAMIENTO,SIN CATEGORIZAR,E/T,12,65,"CARAVAJAL, SARA EVA",
HOSTEL,LAO,RIOJA,771,CIUDAD,CAPITAL,,HOSTEL,HOSTEL,INSCRIPTO,22,22,"VIOTTI, MARIA CELESTE",info@laohostel
PAT,SOLAR DE GUEMES,AV.ACCESO ESTE LAT.NORTE,2119,GUAYMALLEN,GUAYMALLEN,4314950,PAT,PAT,INSCRIPTO,,,"DESHAYS, ALFREDO MIGUEL",
PAT,"BENAROYA, EDUARDO",LAVALLE,256,CIUDAD,CAPITAL,4234841,PAT,PAT,INSCRIPTO,12,24,"BENAROYA, EDUARDO J",E-mail: apartcor@infovia.com.ar
HOTEL,ARIES,VALLE DE LAS LE¥AS,S/N,LAS LE¥AS,MALARGUE,0260-4470669,HOTEL,3 ESTRELLAS,INSCRIPTO,100,250,VALLE DE LAS LE¥AS S.A.,
ALOJAMIENTO,FINCA LA ENCANTADA,LOS OLIVOS,,RAMA CAIDA,SAN RAFAEL,0260-4432175,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,7,"BIANCHI, ALEJANDRO RUBEN",
PAT,FINCA LA RAQUEL,ANDREONI Y EL NORUEGO,S/N,CUADRO NACIONAL,SAN RAFAEL,,PAT,PAT,INSCRIPTO,1,11,"GOMEZ, OSVALDO",www.ecoturfincalaraquel.com.ar
PAT,EMBASSI,PERU,730,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"ORQUIN, RICARDO NICOLAS",
PAT,JORGE ORTIZ BIALET,SARMIENTO,49,CIUDAD,CAPITAL,4254080154189132-155085054,PAT,PAT,INSCRIPTO,,,"ORTIZ BIALET, JORGE C.",
APART-HOTEL,SAN LORENZO APARTAMENTS,SAN LORENZO,568,CIUDAD,CAPITAL,4296261-4201370,APART-HOTEL,1 ESTRELLA,INSCRIPTO,30,90,FOUR SEASON S.A.,informes@sanlorenzoapart.com
HOTEL,VECCHIA ROMA,AV.ESPA¥A,1615,CIUDAD,CAPITAL,4291271,HOTEL,2 ESTRELLAS,INSCRIPTO,44,90,"PEROBON DE PUGLISI, MYRIAM",reservashotelvecchiaroma@gmail.com
PAT,LOVELY HOME,AV.COLON,423,CIUDAD,CAPITAL,4258696,PAT,PAT,INSCRIPTO,,,BALBINA MARIA DIAZ PERNAS,
PAT,"RAGUSA, PATRICIA CELIA",DARRAGUEIRA,6708,CHACRAS DE CORIA,LUJAN DE CUYO,4442332/4962440,PAT,PAT,INSCRIPTO,,,"RAGUSA, PATRICIA CELIA",
ALOJAMIENTO,FINCA LUNA DE PLATA,SARGENTO MEDINA,1064,EL JUNCALITO,GRAL.ALVEAR,02625-422881,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,20,"VILLALBA, CELSA SANTANDER",
ALOJAMIENTO,TERRALTA CAMPING,RUTA PANAMERICANA,13880,LAS COMPUERTAS,LUJAN DE CUYO,153690032,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,22,"MAINARDI, JORGE DANIEL",
PAT,"MAZA, JOSEFINA MERCEDES",DAMIAN HUDSON,130,CIUDAD,CAPITAL,156545576/155698077,PAT,PAT,INSCRIPTO,,,"MAZA, JOSEFINA MERCEDES",
PAT,"DAVILA, CARLOS ALBERTO",ITUZAINGO,1824,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"DAVILA, CARLOS ALBERTO",
ALOJAMIENTO,APARTAMENTOS MDZ,LAVALLE,35,CIUDAD,CAPITAL,261-4858324,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,12,"RIVONE, VIRGINA SOLEDAD",apatamentosmdz@gmail.com
PAT,ETURA FLORENCIO,VALLE DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,156.528.581,PAT,PAT,INSCRIPTO,,,ETURA FLORENCIO,
ALOJAMIENTO,AGUA DEL CORRAL,AMIGORENA,36,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,SUPEH TURISMO S.A.,gerenciaaguadelcorral@supehturismo.com.ar
PAT,CAVAS DEL MORO,CUBILLOS,2225,RAMA CAIDA,SAN RAFAEL,0260-4441172,PAT,PAT,INSCRIPTO,,25,"COMELATTO, DANIEL ALEJANDRO",
VIV.USO TCO.,EDICIONES CULTURALES,B§ Y.P.F. CASA 22,S/N,CIUDAD,MALARGUE,0260-4471167,VIV. USO TCO.,VIV. USO TCO.,INSCRIPTO,,,CABRERA HUGO OSCAR,
PAT,BOSQUE DEL SOL,LOS ABEDULES E.,425,CIUDAD,MALARGUE,0260-154599596,PAT,PAT,INSCRIPTO,2,8,"DRUGHIERI, MARIA CECILIA",consultas@bosquedelsol.com.ar
PAT,IDA ELISA GAIDO DE MARCHESINI,AV.MITRE,2564,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"GAIDO DE MARCHESINI, IDA ELISA",
CABA¥AS,CABA¥AS DEL LAGO,LOS REYUNOS,,LOS REYUNOS,SAN RAFAEL,0260-4436558,CABA¥AS,SIN CATEGORIZAR,INSCRIPTO,,,"LABBE, JULIO CESAR",
PAT,"CARRIà, MIGUEL RAFAEL",CARLOS W. LENCINAS,540,CIUDAD,SAN RAFAEL,0260-4425320,PAT,PAT,INSCRIPTO,,,"CARRIà, MIGUEL RAFAEL",
CAMPING,BALLPARAISO,LA ARGENTINA,3100,TUNUYAN,TUNUYAN,02622-15468432,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GARCIA, JULIA CRISTINA",
PAT,CASA DEL ANCLA,CLUB DE PESCADORES EL NIHUIL,,EL NIHUIL,SAN RAFAEL,0260-4425552,PAT,PAT,INSCRIPTO,,,"ORTEGA, ROBERTO OMAR",
ALOJAMIENTO,HOTEL LAERTE,LEONIDAS AGUIRRE,19,CIUDAD,CAPITAL,4230875,ALOJAMIENTO,SIN CATEGORIZAR,E/T,20,56,RESGUARDOS CUYANOS S.A.,administracion@gardenhotelesmendoza.com
ALOJAMIENTO,ALOJAMIENTO,DALMAU,396,CIUDAD,TUNUYAN,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GAMBOA, PABLO",turismotunuyan@gmail.com
PAT,"GONZALEZ, ADRIANA SILVIA",RIVADAVIA,430,CIUDAD,CAPITAL,156561735,PAT,PAT,INSCRIPTO,,,"GONZALEZ, ADRIANA SILVIA",
PAT,MARIA ELENA POLIMENI DE CINTA,"MZ.""M""-C.10",,POTRERILLOS,LUJAN DE CUYO,N/T,PAT,PAT,INSCRIPTO,,,"POLIMENI DE CINTA, MARIA ELENA",
PAT,PARED SUR,9 DE JULIO,1779,CIUDAD,CAPITAL,4234213,PAT,PAT,INSCRIPTO,14,72,HUMBERTO CHARPARIN S.A.,paredsur@charparin.com.ar
PAT,INNOVA SRL,BARCALA,277,CIUDAD,CAPITAL,4252377-4251824,PAT,PAT,INSCRIPTO,,,"TORRECILLA, ADRIANA COGNO DE",E-mail: torrecilla\infovia.com.ar
PAT,DON VICTORIO,DORREGO,648,CIUDAD,GUAYMALLEN,N/T,PAT,PAT,INSCRIPTO,,,"FULIN, BLANCA ESTHER",
ALOJAMIENTO,WINE APARTS,RIOJA,1738,CIUDAD,CAPITAL,4204066,ALOJAMIENTO,SIN CATEGORIZAR,E/T,8,33,"MALDONADO, FABIAN",wineaparts@hotmail.com
PAT,APARTAMENTOS CORDILLERA,AV.JUAN B.JUSTO,338,CIUDAD,CAPITAL,4234597-4299753-,PAT,PAT,INSCRIPTO,,,"COPPOLETTA, RICARDO ANTONIO",E-mail: apartcor@infovia.com.ar
PAT,DEPARTAMENTOS RIOS,MEJICO,335,CIUDAD,SAN RAFAEL,0260-4430234,PAT,PAT,INSCRIPTO,,,"ANULFO, RIOS",
HOSPEDAJE,CAMILO,LA SUPERIORA,S/N,LA CONSULTA,SAN CARLOS,02622-470046/470008/15435897,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,8,13,"GHILARDI, RAQUEL",camilocasadecampo@hotmail.com
ALOJAMIENTO,CASAS DE CAMPO LA JOSEFINA,LOS OLIVOS,1050,RAMA CAIDA,SAN RAFAEL,0260-154635999,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,10,"LORCA, HECTOR RAUL",casasdecampolajosefina@gmail.com
PAT,DEPARTAMENTOS VILLA LUJAN,ALSINA,955,CIUDAD,SAN RAFAEL,0260-4430990,PAT,PAT,INSCRIPTO,29,70,"PIASTRELINI, RUBEN OMAR",E-mail: piastrelini@slatinos.com.ar
PAT,"GONZALEZ, ADRIANA SILVIA",CHILE,755,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"GONZALEZ, ADRIANA SILVIA",
ALOJAMIENTO,PORTAL ANDINO,RUTA PROV.82,KM.29,CACHEUTA,LAS HERAS,155608304,ALOJAMIENTO,SIN CATEGORIZAR,E/T,5,40,"MARTINEZ, WALTER HUGO",
PAT,SOL DEL VALLE,H.YRIGOYEN,5500,LAS PAREDES,SAN RAFAEL,026-4427981,PAT,PAT,INSCRIPTO,,,"ACOSTA, ANDRES EMILIO",
PAT,CASA DE CAMPO VISTALBA,SAENZ PE¥A,2351,VISTALBA,LUJAN DE CUYO,4983428,PAT,PAT,INSCRIPTO,,,"MARTINEZ, OSCAR HECTOR",casadecampo@infovia.com.ar
PAT,CASAS DE LA MONTA¥A,M15-LOTE12-VALLE DEL SOL,S/N,POTRERILLOS,LUJAN DE CUYO,02624-481035-155002120,PAT,PAT,INSCRIPTO,,,"FERNANDEZ, JUAN DE DIOS",
PAT,"ISOLER, WALTER RICARDO",AV.LOS CONDORES-LOTE 10,S/N,POTRERILLOS,LUJAN DE CUYO,4253626,PAT,PAT,INSCRIPTO,,,"ISOLER, WALTER RICARDO",
PAT,EL EDEN,EL TOLEDANO,500,LAS PAREDES,SAN RAFAEL,0260-154666647,PAT,PAT,INSCRIPTO,,,"BRIZZIO, RICARDO VICTOR",
ALOJAMIENTO,SU ANGEL,LOS ABEDULES E.,425,CIUDAD,MALARGUE,011-1563695380,CABA¥AS,1 ESTRELLA,INSCRIPTO,5,25,"PEIRETTI, SUSANA ALEJANDRA",
PAT,"OCHOA, DARDO RUBEN",25 DE MAYO,980,CIUDAD,SAN RAFAEL,0260-4424623,PAT,PAT,INSCRIPTO,,,"OCHOA, DARDO RUBEN",
VIV.USO TCO.,"DE MARTIS, MANLIO",EDF.LIHUEN,,LAS LE¥AS,MALARGUE,0260-4471100,VIV. USO TCO.,VIV. USO TCO.,INSCRIPTO,,,"DE MARTIS, MANLIO",
PAT,AL SOL MENDOZA,LAVALLE,35,CIUDAD,CAPITAL,4298994/4298016,PAT,PAT,INSCRIPTO,,,AL SOL MENDOZA S.A.,info@alsolmendoza.com
PAT,PARK SUITES,AV.MITRE,753,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,53,180,EMPRENDIMIENTOS INMOBILIARIOS S.A.,reservas@parksuites.com.ar
ALOJAMIENTO,DON ANICETO,SARGENTO MEDINA,3200,EL JUNCALITO,GRAL.ALVEAR,02625-15520728,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18,"FERNANDEZ, SILVIA",
PAT,QUINTA LOS OLIVOS,ROQUE SAENZ PE¥A,4045,VISTALBA,LUJAN DE CUYO,4983417,PAT,PAT,INSCRIPTO,,,"FARINA, OSCAR ENRIQUE",www.quintalosolivos.com.ar
PAT,"MERIGGIO, RUBEN DARIO",LOTEO CLUB BCO.MZA.-C12,,CHACRAS DE CORIA,LUJAN DE CUYO,4962129,PAT,PAT,INSCRIPTO,,,"MERIGGIO, RUBEN DARIO",
PAT,"GIJON, HUMBERTO",ACCESO ESTE,3340,VILLA NUEVA,GUAYMALLEN,4265977,PAT,PAT,INSCRIPTO,6,25,"GIJON, HUMBERTO",
PAT,NENA,ALSINA,586,CIUDAD,SAN RAFAEL,0260-4421881,PAT,PAT,INSCRIPTO,,,"CORDERO DE CANELA, APOLONIA",
ALOJAMIENTO,LA SO¥ADA,COLONIA PEHUENCHE,,FINCA 17,MALARGUE,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,,"SERNA, ORBELINDA",faustinocara@hotmail.com
PAT,"GOMEZ, MARIO",RIOJA,1372,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"GOMEZ, MARIO",E-mail: departamentos@lanet.com.ar
PAT,EL ARCA DE NOE,GUTIERREZ Y MORALES,S/N,RAMA CAIDA,SAN RAFAEL,0260-4441073,PAT,PAT,INSCRIPTO,3,18,"NOE, JUAN ALBERTO",
PAT,EL OLIVO,ENTRE RIOS,1002,CIUDAD,SAN RAFAEL,0260-4432935,PAT,PAT,INSCRIPTO,2,12,"TOLEDO, BLANCA ADELAIDA",
PAT,BALVINO DIAZ,MARCELO T.DE ALVEAR,1425,CIUDAD,SAN RAFAEL,0260-4434068,PAT,PAT,INSCRIPTO,,,BALVINO DIAZ,
PAT,VIVIENDA DURAN,TORRES,215,CIUDAD,SAN RAFAEL,02627-,PAT,PAT,INSCRIPTO,,,"DURAN, DELIA CASTILLO DE",
PAT,EXCLUSIVE.CTRO.TUR.INTR.,TROPERO SOSA,800,CIUDAD,MAIPU,4814146,PAT,PAT,INSCRIPTO,,,"COPPARONI, MARIA ESTHER-LUMACO",
PAT,"ALVAREZ, JOSE RAMIRO",NECOCHEA,350,CIUDAD,CAPITAL,4295339,PAT,PAT,INSCRIPTO,,,"ALVAREZ, JOSE RAMIRO",CAMBIAR CODIGO ACTIVIDAD COME
PAT,"GRANT, JUAN ARTURO",AV.LOS SAUCES,S/N,LAS PAREDES,SAN RAFAEL,0260-4426526,PAT,PAT,INSCRIPTO,,,"GRANT, JUAN ARTURO",
ALOJAMIENTO,HOTEL FINCA HERMITAGE,CARRIL URQUIZA,2137,SAN FCO.DEL MONTE,GUAYMALLEN,4261113,ALOJAMIENTO,SIN CATEGORIZAR,E/T,14,32,TEATRO AVENIDA S.A.,administracion@fincahermitage.com.ar
PAT,"MORENO, NELLY DEL CARMEN",IRIGOYEN,828,CIUDAD,SAN RAFAEL,0260-4428486,PAT,PAT,INSCRIPTO,,,"MORENO, NELLY DEL CARMEN",
PAT,CHARLY,JULIO A.ROCA,43,CIUDAD,MALARGUE,0260-4471163/154400611,PAT,PAT,INSCRIPTO,4,12,"DO¥A, CARLOS",charlyalquiler@hotmail.com
PAT,CARU LEUFU,RUTA 173,KM23100,VALLE GRANDE,SAN RAFAEL,0260-4434688,PAT,PAT,INSCRIPTO,,,"MAZZONE DE DIEGO, PATRICIA MONICA",
PAT,"MONTON, ROBERTO",LITORAL,645,CARRODILLA,LUJAN DE CUYO,4360298,PAT,PAT,INSCRIPTO,,,"MONTON, ROBERTO",E-MAIL MENDOZA-DEPTOS@YAHOO.COM
PAT,CALDERON,H.YRIGOYEN,2480,LAS PAREDES,SAN RAFAEL,0260-4426927/4426660,CABA¥AS,CABA¥AS,INSCRIPTO,,,"CALDERON,EDUARDO ANGEL",info@cabanascalderon.com.ar / www.cabanascalderon.com.ar
CABA¥AS,LOS ALAMOS,ALFONSO CAPDEVILA,448,CIUDAD,MALARGUE,0260-4470958/154553457,CABA¥AS,1 ESTRELLA,INSCRIPTO,2,7,"BRAMUCCI DE LUCERO, SUSANA",cabanaslosalamos@yahoo.com.ar
PAT,COLORINA,CANADA,329,CIUDAD,SAN RAFAEL,0260-4437397,PAT,PAT,INSCRIPTO,,,"TARAZAGA Y SANCHEZ, ISABEL",
PAT,"MERALAGNO, SILVIO",SANTA FE,735,CIUDAD,CAPITAL,4975318-156560049,PAT,PAT,INSCRIPTO,,,"MELARAGNO, SILVIO",
